product_code,product_name,product_description,price,currency,availability_status,color_name,weight_value,dimension_value,power_supply,subcategory_name,brand_name,manufacturer_name
PROD-24876,Defibrillator,Defibrillator is a high-quality product.,16474.22,GBP,discontinued,Yellow,67.9,172x126x59cm,120-240V,Medical Consumable Kits,Siemens,Roche Diagnostics
PROD-67656,Ultrasound Machine,Ultrasound Machine is a high-quality product.,39776.21,USD,discontinued,Gray,91.76,175x69x186cm,110V,Pulmonary Function Testers,Baxter,Shimadzu Medical
PROD-37859,Surgical Robot,Surgical Robot is a high-quality product.,49229.63,USD,backorder,Gray,45.61,139x186x19cm,120-240V,Regenerative Medicine Scaffolds,Hitachi Healthcare,Boston Scientific Corp
PROD-24875,Respirator,Respirator is a high-quality product.,19656.02,USD,out of stock,Black,6.32,166x171x33cm,110V,Dental X-Ray Machines,BD,Philips Medical
PROD-75510,Blood Analyzer,Blood Analyzer is a high-quality product.,47288.1,USD,out of stock,Red,64.1,142x112x157cm,110V,Medical Consumable Kits,Abbott,Terumo
PROD-66428,Ventilator,Ventilator is a high-quality product.,46373.8,GBP,backorder,Blue,75.74,147x114x24cm,Battery,Pulmonary Function Testers,ACME,Shimadzu Medical
PROD-35857,Dialysis Machine,Dialysis Machine is a high-quality product.,29536.25,EUR,backorder,Gray,46.37,69x20x77cm,110V,Speech Therapy Devices,ACME,Hitachi Medical
PROD-95093,Respirator,Respirator is a high-quality product.,3687.84,GBP,backorder,Black,9.76,56x59x58cm,220V,Dental X-Ray Machines,Abbott,Boston Scientific Corp
PROD-48879,Respirator,Respirator is a high-quality product.,35361.9,USD,backorder,Black,64.31,109x136x103cm,110V,Cardiovascular Stents,Zimmer Biomet,Boston Scientific Corp
PROD-56632,Surgical Robot,Surgical Robot is a high-quality product.,6791.36,EUR,backorder,Yellow,82.46,167x181x19cm,110V,Intensive Care Monitors,BD,Johnson & Johnson Medical
PROD-63768,Holter Monitor,Holter Monitor is a high-quality product.,39207.4,USD,discontinued,Green,2.92,191x98x158cm,Multi-Voltage,Biotechnology Reactors,Zimmer Biomet,Terumo
PROD-67993,Patient Monitor,Patient Monitor is a high-quality product.,17140.81,GBP,discontinued,Yellow,36.01,61x66x73cm,Battery,Cardiac Monitors,BD,Philips Medical
PROD-87710,Blood Analyzer,Blood Analyzer is a high-quality product.,32313.19,USD,out of stock,Black,45.57,65x179x83cm,220V,Infusion Pumps,Boston Scientific,Medtronic Inc
PROD-50784,Infusion Pump,Infusion Pump is a high-quality product.,32478.97,EUR,discontinued,Yellow,48.45,192x180x185cm,Multi-Voltage,ECG Machines,Stryker,Abbott Laboratories
PROD-72545,Anesthesia Machine,Anesthesia Machine is a high-quality product.,34239.09,USD,in stock,Blue,85.61,162x114x114cm,Battery,Cardiac Monitors,Mindray,Zimmer Biomet Holdings
PROD-98121,Holter Monitor,Holter Monitor is a high-quality product.,29834.93,EUR,discontinued,Green,50.5,50x43x155cm,120-240V,Speech Therapy Devices,3M,Philips Medical
PROD-84656,Mammography Unit,Mammography Unit is a high-quality product.,33559.12,EUR,discontinued,Green,91.17,126x144x75cm,110V,Cardiovascular Stents,Baxter,Shimadzu Medical
PROD-34315,ECG Monitor,ECG Monitor is a high-quality product.,8709.42,EUR,out of stock,Red,63.45,39x35x36cm,Multi-Voltage,Nephroscopes,Boston Scientific,Terumo
PROD-51403,Endoscope,Endoscope is a high-quality product.,32968.22,GBP,out of stock,Green,9.76,62x178x97cm,Battery,Respirators,Boston Scientific,Stryker Corp
PROD-69297,Dialysis Machine,Dialysis Machine is a high-quality product.,14392.45,GBP,in stock,Green,38.87,174x196x129cm,120-240V,Cardiac Monitors,GE,B.Braun Melsungen
PROD-99744,Endoscope,Endoscope is a high-quality product.,16686.12,EUR,discontinued,Blue,65.89,173x188x12cm,Multi-Voltage,Infusion Pumps,BD,Johnson & Johnson Medical
PROD-61802,C-Arm X-Ray,C-Arm X-Ray is a high-quality product.,41252.31,USD,in stock,Black,2.94,15x165x29cm,Multi-Voltage,Physical Therapy Equipment,Philips,Fujifilm Healthcare
PROD-14099,Patient Monitor,Patient Monitor is a high-quality product.,18763.39,GBP,backorder,Black,96.56,185x110x90cm,Battery,ECG Machines,Abbott,Philips Medical
PROD-46185,Anesthesia Machine,Anesthesia Machine is a high-quality product.,4421.58,USD,discontinued,White,13.86,32x135x79cm,Battery,Respirators,ACME,Fujifilm Healthcare
PROD-66864,Endoscope,Endoscope is a high-quality product.,27433.73,USD,in stock,Green,9.76,141x105x60cm,220V,Medical Examination Tables,BD,Terumo
PROD-75958,Respirator,Respirator is a high-quality product.,23925.62,GBP,out of stock,Yellow,9.76,30x22x140cm,220V,Medical Examination Tables,Baxter,B.Braun Melsungen
PROD-47985,MRI Scanner,MRI Scanner is a high-quality product.,4220.19,USD,in stock,Blue,21.83,155x122x133cm,120-240V,Urology Ultrasound Probes,Siemens,Hitachi Medical
PROD-21787,Endoscope,Endoscope is a high-quality product.,45807.96,GBP,discontinued,White,83.03,63x61x17cm,Battery,Urology Ultrasound Probes,BD,Philips Medical
PROD-81829,Surgical Robot,Surgical Robot is a high-quality product.,33902.86,USD,in stock,Black,69.84,95x15x121cm,110V,Infusion Pumps,3M,Shimadzu Medical
PROD-93798,Incubator,Incubator is a high-quality product.,15660.23,EUR,in stock,Black,40.08,155x122x133cm,220V,Medical Consumable Kits,Roche,Zimmer Biomet Holdings
PROD-25011,Anesthesia Machine,Anesthesia Machine is a high-quality product.,30170.51,EUR,backorder,Gray,35.85,165x169x37cm,Multi-Voltage,Lasers,BD,Boston Scientific Corp
PROD-16575,Electrosurgical Unit,Electrosurgical Unit is a high-quality product.,9404.39,USD,in stock,White,75.45,94x89x82cm,Multi-Voltage,Palliative Care Beds,Baxter,Roche Diagnostics
PROD-92899,CT Scanner,CT Scanner is a high-quality product.,10465.67,EUR,discontinued,Red,32.04,41x141x23cm,220V,Intensive Care Monitors,Medtronic,Zimmer Biomet Holdings
PROD-60510,Surgical Laser,Surgical Laser is a high-quality product.,30265.54,EUR,backorder,Black,46.79,102x179x157cm,Multi-Voltage,Respirators,Roche,Abbott Laboratories
PROD-13640,Mammography Unit,Mammography Unit is a high-quality product.,21885.56,GBP,in stock,Yellow,42.13,195x158x179cm,110V,Plastic Surgery Lasers,Boston Scientific,Philips Medical
PROD-61052,Bone Densitometer,Bone Densitometer is a high-quality product.,21403.44,EUR,discontinued,White,49.01,195x183x41cm,110V,Biotechnology Reactors,Siemens,Stryker Corp
PROD-47829,C-Arm X-Ray,C-Arm X-Ray is a high-quality product.,16506.37,EUR,out of stock,Blue,35.85,104x46x125cm,120-240V,Laboratory Analyzers,B.Braun,Shimadzu Medical
PROD-48579,CT Scanner,CT Scanner is a high-quality product.,1862.21,USD,out of stock,Blue,49.01,176x193x135cm,Multi-Voltage,ECG Machines,Boston Scientific,Boston Scientific Corp
PROD-80305,Dialysis Machine,Dialysis Machine is a high-quality product.,39846.61,GBP,out of stock,Red,43.34,141x48x124cm,110V,Cardiac Monitors,Olympus,GE Healthcare
PROD-95125,Anesthesia Machine,Anesthesia Machine is a high-quality product.,38166.37,EUR,backorder,Gray,63.59,171x195x102cm,Multi-Voltage,Medical Examination Tables,GE,Johnson & Johnson Medical
PROD-20866,Dialysis Machine,Dialysis Machine is a high-quality product.,2480.63,USD,backorder,Green,3.27,162x158x127cm,Battery,Respirators,Mindray,Philips Medical
PROD-84065,Endoscope,Endoscope is a high-quality product.,6432.29,EUR,out of stock,Red,58.06,26x60x188cm,Multi-Voltage,Speech Therapy Devices,ACME,B.Braun Melsungen
PROD-92023,C-Arm X-Ray,C-Arm X-Ray is a high-quality product.,48610.39,EUR,backorder,Black,77.4,59x11x67cm,Multi-Voltage,ECG Machines,Baxter,Siemens Healthineers
PROD-37095,Surgical Laser,Surgical Laser is a high-quality product.,20835.51,EUR,discontinued,Blue,59.21,41x99x37cm,Battery,Speech Therapy Devices,Mindray,Zimmer Biomet Holdings
PROD-27816,Defibrillator,Defibrillator is a high-quality product.,23409.3,GBP,discontinued,White,52.93,48x125x100cm,Battery,Infusion Pumps,Drager,Shimadzu Medical
PROD-59860,Respirator,Respirator is a high-quality product.,14401.83,EUR,out of stock,White,52.46,97x162x112cm,Multi-Voltage,Physical Therapy Equipment,Baxter,Hitachi Medical
PROD-81088,Endoscope,Endoscope is a high-quality product.,49270.39,USD,backorder,Blue,92.41,38x83x170cm,110V,Infusion Pumps,GE,Dräger
PROD-15466,CT Scanner,CT Scanner is a high-quality product.,8220.53,USD,out of stock,Black,25.03,38x161x109cm,120-240V,Laboratory Analyzers,Canon Medical,Johnson & Johnson Medical
PROD-18767,Infusion Pump,Infusion Pump is a high-quality product.,19795.83,USD,discontinued,Green,48.12,29x15x155cm,Multi-Voltage,Medical Examination Tables,Abbott,B.Braun Melsungen
PROD-34019,MRI Scanner,MRI Scanner is a high-quality product.,39699.8,EUR,backorder,Black,23.74,193x41x168cm,220V,Infusion Pumps,GE,Olympus Corp
PROD-96029,Incubator,Incubator is a high-quality product.,18386.74,EUR,backorder,Yellow,75.66,86x34x72cm,220V,Cardiac Monitors,3M,Stryker Corp
PROD-93524,Patient Monitor,Patient Monitor is a high-quality product.,22357.2,GBP,discontinued,Red,38.36,79x121x144cm,220V,Infusion Pumps,GE,Terumo
PROD-73929,Holter Monitor,Holter Monitor is a high-quality product.,9664.34,GBP,backorder,Green,87.83,77x166x85cm,110V,Intensive Care Monitors,Baxter,B.Braun Melsungen
PROD-86437,ECG Monitor,ECG Monitor is a high-quality product.,23196.95,GBP,in stock,White,74.74,162x114x114cm,110V,Cardiovascular Stents,Boston Scientific,Shimadzu Medical
PROD-60265,Ventilator,Ventilator is a high-quality product.,3850.22,EUR,backorder,White,3.27,125x37x161cm,220V,Biotechnology Reactors,Medtronic,Hitachi Medical
PROD-72164,MRI Scanner,MRI Scanner is a high-quality product.,1068.98,USD,in stock,Red,72.69,156x141x172cm,Battery,Lasers,Zimmer Biomet,Dräger
PROD-54767,Endoscope,Endoscope is a high-quality product.,46214.39,USD,in stock,Green,23.67,121x163x41cm,Multi-Voltage,Cardiovascular Stents,Roche,Johnson & Johnson Medical
PROD-24497,Respirator,Respirator is a high-quality product.,9853.1,USD,out of stock,White,25.12,159x135x195cm,110V,Urology Ultrasound Probes,ACME,Baxter International
PROD-13291,Sterilizer,Sterilizer is a high-quality product.,27591.9,USD,backorder,Blue,80.23,168x135x65cm,220V,Medical Examination Tables,3M,Shimadzu Medical
PROD-29858,Endoscope,Endoscope is a high-quality product.,28269.1,USD,out of stock,Red,51.44,139x186x19cm,Multi-Voltage,Lasers,Philips,Shimadzu Medical
PROD-38775,X-Ray Machine,X-Ray Machine is a high-quality product.,37732.58,USD,out of stock,Red,2.94,64x23x145cm,120-240V,Laboratory Analyzers,Boston Scientific,Hitachi Medical
PROD-47908,Endoscope,Endoscope is a high-quality product.,31461.47,GBP,discontinued,Green,84.19,193x147x146cm,220V,Respirators,ACME,Medtronic Inc
PROD-12550,Anesthesia Machine,Anesthesia Machine is a high-quality product.,2434.11,GBP,backorder,Black,69.13,53x155x154cm,120-240V,Regenerative Medicine Scaffolds,Philips,Canon Medical Systems
PROD-82869,Endoscope,Endoscope is a high-quality product.,24309.91,USD,out of stock,White,69.8,172x17x84cm,Multi-Voltage,Speech Therapy Devices,Hitachi Healthcare,Baxter International
PROD-80551,Patient Monitor,Patient Monitor is a high-quality product.,28204.58,USD,in stock,Yellow,65.96,97x137x78cm,220V,Biotechnology Reactors,Johnson & Johnson,B.Braun Melsungen
PROD-59483,Incubator,Incubator is a high-quality product.,3703.34,USD,backorder,Blue,29.05,61x16x140cm,110V,Laboratory Analyzers,3M,Terumo
PROD-22940,Blood Analyzer,Blood Analyzer is a high-quality product.,38782.26,EUR,in stock,Green,94.67,169x86x101cm,120-240V,Cardiovascular Stents,Zimmer Biomet,Stryker Corp
PROD-41225,Incubator,Incubator is a high-quality product.,10503.09,EUR,in stock,Green,60.53,61x66x73cm,Battery,Regenerative Medicine Scaffolds,Abbott,Roche Diagnostics
PROD-60556,Ventilator,Ventilator is a high-quality product.,41613.43,USD,discontinued,Green,80.86,109x47x143cm,Multi-Voltage,Infusion Pumps,Olympus,Roche Diagnostics
PROD-19626,Endoscope,Endoscope is a high-quality product.,33919.19,EUR,backorder,Gray,9.76,66x112x79cm,Multi-Voltage,Speech Therapy Devices,Canon Medical,Baxter International
PROD-14220,Surgical Robot,Surgical Robot is a high-quality product.,19024.23,EUR,backorder,Gray,71.18,155x32x140cm,Multi-Voltage,Medical Examination Tables,Boston Scientific,Siemens Healthineers
PROD-29059,Dialysis Machine,Dialysis Machine is a high-quality product.,36789.45,GBP,backorder,Blue,89.49,172x168x81cm,Multi-Voltage,Laboratory Analyzers,3M,Philips Medical
PROD-31664,Ultrasound Machine,Ultrasound Machine is a high-quality product.,30934.34,EUR,out of stock,Red,2.56,53x134x200cm,Battery,Urology Ultrasound Probes,Mindray,GE Healthcare
PROD-89058,Radiation Therapy System,Radiation Therapy System is a high-quality product.,36886.94,GBP,out of stock,Yellow,59.21,190x102x125cm,220V,Medical Consumable Kits,ACME,Dräger
PROD-29979,Respirator,Respirator is a high-quality product.,48161.58,USD,backorder,Yellow,69.04,62x53x156cm,110V,Medical Examination Tables,Medtronic,Zimmer Biomet Holdings
PROD-93195,Mammography Unit,Mammography Unit is a high-quality product.,18912.28,USD,out of stock,Green,79.06,75x130x195cm,120-240V,Cardiac Monitors,Stryker,Hitachi Medical
PROD-91921,MRI Scanner,MRI Scanner is a high-quality product.,14071.8,EUR,discontinued,White,2.88,91x119x31cm,120-240V,Speech Therapy Devices,Mindray,Roche Diagnostics
PROD-46005,Ventilator,Ventilator is a high-quality product.,28856.7,USD,out of stock,Green,34.56,126x169x163cm,120-240V,Nephroscopes,Zimmer Biomet,Hitachi Medical
PROD-57480,Incubator,Incubator is a high-quality product.,36631.1,GBP,in stock,White,79.61,61x60x95cm,220V,Cardiac Monitors,B.Braun,Dräger
PROD-83646,Endoscope,Endoscope is a high-quality product.,18449.13,GBP,in stock,Red,89.49,91x97x109cm,110V,Laboratory Analyzers,Stryker,Hitachi Medical
PROD-52227,Anesthesia Machine,Anesthesia Machine is a high-quality product.,23232.48,EUR,backorder,White,80.18,199x112x54cm,120-240V,Laboratory Analyzers,Roche,GE Healthcare
PROD-48289,Respirator,Respirator is a high-quality product.,31808.79,EUR,out of stock,Green,32.45,148x139x152cm,220V,Cardiovascular Stents,Canon Medical,Philips Medical
PROD-41462,Ventilator,Ventilator is a high-quality product.,3332.0,USD,discontinued,Gray,11.95,53x91x55cm,Multi-Voltage,Speech Therapy Devices,Baxter,Shimadzu Medical
PROD-68182,CT Scanner,CT Scanner is a high-quality product.,10059.66,EUR,in stock,Green,63.51,15x86x79cm,120-240V,Laboratory Analyzers,GE,Shimadzu Medical
PROD-81617,MRI Scanner,MRI Scanner is a high-quality product.,29463.6,USD,backorder,White,47.46,104x46x125cm,220V,Nephroscopes,Mindray,Siemens Healthineers
PROD-85677,Electrosurgical Unit,Electrosurgical Unit is a high-quality product.,15965.81,EUR,in stock,Yellow,1.4,98x66x147cm,110V,Medical Consumable Kits,Drager,Johnson & Johnson Medical
PROD-87994,Electrosurgical Unit,Electrosurgical Unit is a high-quality product.,40375.65,USD,out of stock,Red,47.13,56x58x91cm,220V,Speech Therapy Devices,Johnson & Johnson,Philips Medical
PROD-37671,Incubator,Incubator is a high-quality product.,48832.59,EUR,backorder,Gray,64.66,199x51x163cm,110V,Nephroscopes,Abbott,Terumo
PROD-17050,Defibrillator,Defibrillator is a high-quality product.,32016.48,USD,in stock,Blue,70.63,178x77x68cm,220V,Cardiovascular Stents,Siemens,Terumo
PROD-70859,Ultrasound Machine,Ultrasound Machine is a high-quality product.,35957.88,EUR,out of stock,Green,49.04,143x131x46cm,Multi-Voltage,Lasers,Boston Scientific,Olympus Corp
PROD-79135,ECG Monitor,ECG Monitor is a high-quality product.,38541.7,GBP,in stock,Red,13.08,74x174x11cm,110V,Cardiovascular Stents,Olympus,Abbott Laboratories
PROD-84955,Ventilator,Ventilator is a high-quality product.,6997.52,GBP,in stock,White,57.74,30x182x162cm,Battery,Cardiac Monitors,B.Braun,Fujifilm Healthcare
PROD-50832,Ventilator,Ventilator is a high-quality product.,33967.08,USD,out of stock,Red,69.05,48x125x100cm,120-240V,Infusion Pumps,Roche,Olympus Corp
PROD-91829,C-Arm X-Ray,C-Arm X-Ray is a high-quality product.,37539.56,GBP,in stock,Green,11.34,95x57x21cm,Multi-Voltage,ECG Machines,Medtronic,Baxter International
PROD-30425,Surgical Laser,Surgical Laser is a high-quality product.,30632.27,GBP,out of stock,Yellow,21.06,151x51x111cm,220V,Lasers,Canon Medical,Canon Medical Systems
PROD-66184,Anesthesia Machine,Anesthesia Machine is a high-quality product.,3399.34,GBP,backorder,Red,29.18,15x86x79cm,Multi-Voltage,Cardiovascular Stents,B.Braun,Shimadzu Medical
PROD-95820,Surgical Laser,Surgical Laser is a high-quality product.,10339.3,GBP,discontinued,Blue,33.49,109x47x143cm,120-240V,Intensive Care Monitors,Abbott,B.Braun Melsungen
PROD-27278,X-Ray Machine,X-Ray Machine is a high-quality product.,8751.59,EUR,out of stock,Yellow,86.72,15x86x79cm,Battery,Urology Ultrasound Probes,Baxter,Hitachi Medical
PROD-15361,Holter Monitor,Holter Monitor is a high-quality product.,14633.79,EUR,out of stock,Yellow,73.06,59x102x84cm,110V,Laboratory Analyzers,Stryker,Dräger
PROD-68908,Endoscope,Endoscope is a high-quality product.,15172.01,EUR,out of stock,Blue,63.45,70x155x136cm,110V,Lasers,Johnson & Johnson,Dräger
PROD-74635,Holter Monitor,Holter Monitor is a high-quality product.,10745.17,USD,backorder,Gray,43.22,194x33x135cm,Battery,Infusion Pumps,Medtronic,Johnson & Johnson Medical
PROD-38254,Infusion Pump,Infusion Pump is a high-quality product.,46418.06,USD,backorder,Red,23.67,85x16x117cm,220V,Medical Consumable Kits,Philips,Zimmer Biomet Holdings
PROD-72231,Radiation Therapy System,Radiation Therapy System is a high-quality product.,45324.7,EUR,discontinued,Green,22.2,184x129x106cm,Battery,Plastic Surgery Lasers,BD,Siemens Healthineers
PROD-55345,Ultrasound Machine,Ultrasound Machine is a high-quality product.,10201.03,GBP,out of stock,Black,55.26,54x62x114cm,110V,Nephroscopes,Johnson & Johnson,Mindray Bio-Medical
PROD-66997,Dialysis Machine,Dialysis Machine is a high-quality product.,22887.73,EUR,backorder,Green,7.48,93x162x153cm,220V,Lasers,3M,Johnson & Johnson Medical
PROD-95209,Dialysis Machine,Dialysis Machine is a high-quality product.,3977.1,USD,discontinued,Yellow,96.56,200x44x139cm,Multi-Voltage,Cardiovascular Stents,Johnson & Johnson,Abbott Laboratories
PROD-39018,X-Ray Machine,X-Ray Machine is a high-quality product.,28134.37,USD,in stock,Red,73.06,37x100x70cm,110V,Pulmonary Function Testers,Hitachi Healthcare,Fujifilm Healthcare
PROD-91382,Dialysis Machine,Dialysis Machine is a high-quality product.,36777.15,USD,in stock,White,49.26,100x151x146cm,Multi-Voltage,Cardiovascular Stents,Siemens,Baxter International
PROD-79606,Operating Microscope,Operating Microscope is a high-quality product.,41303.03,EUR,out of stock,Black,79.49,48x125x100cm,Battery,Palliative Care Beds,Abbott,Shimadzu Medical
PROD-17774,Blood Analyzer,Blood Analyzer is a high-quality product.,12506.71,GBP,out of stock,Black,68.29,107x166x42cm,110V,Infusion Pumps,Abbott,Johnson & Johnson Medical
PROD-80950,Electrosurgical Unit,Electrosurgical Unit is a high-quality product.,47548.34,GBP,backorder,Blue,32.04,79x121x144cm,120-240V,Palliative Care Beds,Siemens,Baxter International
PROD-57151,Radiation Therapy System,Radiation Therapy System is a high-quality product.,36467.63,GBP,in stock,Red,52.28,61x184x120cm,Battery,Intensive Care Monitors,3M,Mindray Bio-Medical
PROD-48031,CT Scanner,CT Scanner is a high-quality product.,26172.62,USD,in stock,White,68.29,30x122x120cm,120-240V,Medical Examination Tables,Zimmer Biomet,Boston Scientific Corp
PROD-30172,Ultrasound Machine,Ultrasound Machine is a high-quality product.,36106.74,USD,in stock,Green,22.22,109x158x65cm,Multi-Voltage,Laboratory Analyzers,B.Braun,Medtronic Inc
PROD-88547,CT Scanner,CT Scanner is a high-quality product.,7940.36,EUR,out of stock,White,52.91,135x21x33cm,Battery,Cardiac Monitors,GE,Roche Diagnostics
PROD-60373,Endoscope,Endoscope is a high-quality product.,35219.39,GBP,discontinued,Yellow,92.27,191x140x96cm,Battery,Medical Consumable Kits,B.Braun,Shimadzu Medical
PROD-49710,Defibrillator,Defibrillator is a high-quality product.,24461.34,EUR,in stock,Green,67.85,42x22x56cm,Battery,Cardiac Monitors,Drager,Boston Scientific Corp
PROD-34956,Patient Monitor,Patient Monitor is a high-quality product.,21764.94,GBP,backorder,Yellow,25.03,162x154x120cm,120-240V,Speech Therapy Devices,Philips,Baxter International
PROD-60028,C-Arm X-Ray,C-Arm X-Ray is a high-quality product.,36706.55,USD,in stock,Red,75.22,142x112x157cm,220V,Infusion Pumps,Olympus,Canon Medical Systems
PROD-48225,MRI Scanner,MRI Scanner is a high-quality product.,4066.95,GBP,in stock,Yellow,30.29,43x22x87cm,Battery,Pulmonary Function Testers,Boston Scientific,Canon Medical Systems
PROD-37103,MRI Scanner,MRI Scanner is a high-quality product.,3297.37,EUR,backorder,White,81.49,95x175x37cm,120-240V,Infusion Pumps,Drager,Philips Medical
PROD-10203,Ventilator,Ventilator is a high-quality product.,2988.06,EUR,out of stock,Yellow,64.66,127x197x123cm,120-240V,Nephroscopes,Hitachi Healthcare,Roche Diagnostics
PROD-81556,Blood Analyzer,Blood Analyzer is a high-quality product.,41979.62,USD,discontinued,Black,25.93,99x91x35cm,110V,Pulmonary Function Testers,Mindray,Mindray Bio-Medical
PROD-18047,Bone Densitometer,Bone Densitometer is a high-quality product.,41789.27,EUR,in stock,Black,71.83,80x77x82cm,110V,ECG Machines,Hitachi Healthcare,B.Braun Melsungen
PROD-67543,Respirator,Respirator is a high-quality product.,6947.98,USD,out of stock,White,71.49,167x181x19cm,110V,ECG Machines,Medtronic,Canon Medical Systems
PROD-38153,Infusion Pump,Infusion Pump is a high-quality product.,11346.95,GBP,backorder,Blue,52.93,56x58x91cm,220V,Palliative Care Beds,Abbott,Boston Scientific Corp
PROD-90761,Bone Densitometer,Bone Densitometer is a high-quality product.,17653.6,EUR,in stock,White,13.04,15x86x79cm,110V,Regenerative Medicine Scaffolds,Philips,Terumo
PROD-91227,Defibrillator,Defibrillator is a high-quality product.,5344.74,EUR,out of stock,Gray,42.49,168x50x167cm,120-240V,Pulmonary Function Testers,Siemens,Zimmer Biomet Holdings
PROD-60657,X-Ray Machine,X-Ray Machine is a high-quality product.,22608.79,GBP,out of stock,Red,8.73,181x149x159cm,Multi-Voltage,Dental X-Ray Machines,Olympus,Roche Diagnostics
PROD-89678,CT Scanner,CT Scanner is a high-quality product.,36081.03,EUR,backorder,Black,65.89,170x51x140cm,120-240V,Dental X-Ray Machines,Drager,Abbott Laboratories
PROD-31330,Defibrillator,Defibrillator is a high-quality product.,36829.68,GBP,in stock,Gray,57.74,149x20x86cm,120-240V,Intensive Care Monitors,Mindray,Siemens Healthineers
PROD-27085,Patient Monitor,Patient Monitor is a high-quality product.,47802.92,EUR,in stock,Red,2.1,122x29x159cm,Multi-Voltage,Respirators,BD,Canon Medical Systems
PROD-49575,Surgical Laser,Surgical Laser is a high-quality product.,47922.12,EUR,out of stock,Green,64.28,61x66x73cm,120-240V,Dental X-Ray Machines,Roche,Siemens Healthineers
PROD-17867,Respirator,Respirator is a high-quality product.,19687.7,EUR,out of stock,Black,78.05,164x59x38cm,220V,Laboratory Analyzers,Siemens,Terumo
